rank,qb,team,dropbacks,comp_pct,adot,epa_per_db,success_pct,pressure_epa_per_db,total_epa
1,Jaxson Dart,GIANTS,34,79.3%,8.45,0.67,67.6%,0.28,22.6
2,Caleb Williams,BEARS,38,72.4%,11.00,0.49,55.3%,0.63,18.7
3,Trevor Lawrence,JAGUARS,24,78.3%,10.52,0.77,70.8%,0.81,18.5
4,Josh Allen,BILLS,32,69.0%,13.21,0.54,50.0%,0.10,17.3
5,Lamar Jackson,RAVENS,29,70.8%,11.25,0.42,55.2%,0.07,12.1
6,Jacoby Brissett,CARDINALS,39,73.0%,7.65,0.27,53.8%,0.09,10.4
7,Geno Smith,JETS,26,79.2%,7.00,0.32,57.7%,0.10,8.3
8,Brock Purdy,49ERS,36,73.5%,4.38,0.21,58.3%,-0.07,7.4
9,Drew Lock,SEAHAWKS,24,72.7%,6.32,0.28,50.0%,0.12,6.6
10,Bryce Young,PANTHERS,40,61.1%,9.39,0.16,47.5%,0.15,6.3
