id,selection,pickType,decision,expected_clv
cmu4ovjuo00018dpu7r4vchne,Florida Atlantic Owls ML (model signal),MONEYLINE,LEAN,0
cmu7pazzb00011265glbfk9bs,Chicago White Sox ML (model signal),MONEYLINE,LEAN,0
cmu0ft7ga025e2i92kh5vyamj,Penn State Nittany Lions ML (model signal),MONEYLINE,LEAN,0
cmu1w53c601jdaiu9s3038ob7,Wisconsin Badgers ML (model signal),MONEYLINE,LEAN,0
cmu7lwj4h000113a96kp9l7sf,Chicago White Sox ML (model signal),MONEYLINE,LEAN,0
cmu30bt5u018tar3vguht8389,Louisville Cardinals ML (model signal),MONEYLINE,LEAN,0
cmu39if9404c6tg5j2ama0t51,Cincinnati Bearcats ML (model signal),MONEYLINE,LEAN,0
cmu3d6wb50003nfj20h5n67u0,Indiana Hoosiers ML (model signal),MONEYLINE,LEAN,0
cmu3caq3y07m6yhji9ohcpbp4,Liberty Flames ML (model signal),MONEYLINE,LEAN,0
cmu3d6waj0001nfj29qpuyc4b,Duke Blue Devils ML (model signal),MONEYLINE,LEAN,0
cmu4peqbl00v5xgpafmouksys,Old Dominion Monarchs ML (model signal),MONEYLINE,LEAN,0
cmu7ku47g01fi9m62f0z6cb6n,Cleveland Guardians ML (model signal),MONEYLINE,LEAN,0
cmu7jlmrz000114izp51flym3,Pittsburgh Pirates ML (model signal),MONEYLINE,LEAN,0
cmu5rgh2200013jlauudxdpx8,Oklahoma State Cowboys ML (model signal),MONEYLINE,LEAN,0
cmu66032i00w6l2vhpb44arj0,Jacksonville State Gamecocks ML (model signal),MONEYLINE,LEAN,0
cmu672udo00w81cq1178vvyqe,Middle Tennessee Blue Raiders ML (model signal),MONEYLINE,LEAN,0
cmu7mytck00w7aav1zsrtt3eo,Washington Nationals ML (model signal),MONEYLINE,LEAN,0
cmu7oozyq068v3401svw9fwgl,Colorado State Rams ML (model signal),MONEYLINE,LEAN,0
cmu7myte800w9aav1coput50d,Ole Miss Rebels ML (model signal),MONEYLINE,LEAN,0
cmu0e0lu5000h128m8383v7u4,Ohio State Buckeyes ML (model signal),MONEYLINE,LEAN,0
cmu65xkzg0001l2vhl2xn8oei,Rice Owls ML (model signal),MONEYLINE,LEAN,0
cmu0so6m600vciz4o5gq63kzs,Clemson Tigers ML (model signal),MONEYLINE,LEAN,0
cmu1w53db01jhaiu9tv4zvdju,Central Michigan Chippewas ML (model signal),MONEYLINE,LEAN,0
cmu0hyd4u03io9eah0dvfsh9i,Iowa State Cyclones ML (model signal),MONEYLINE,LEAN,0
cmu76dzrj05dvojwn9ibk8paa,St. Louis City SC -1.0,SPREAD,SPEAK,0.0438
cmu7dv8xj01jh6kzhvrhdfblk,San Diego Padres ML (-152),MONEYLINE,SPEAK,0.042
cmu7dv95b01kb6kzhws9jgla8,Chicago Cubs -1.5,SPREAD,SPEAK,0.0625
cmu7dv97s01kl6kzhzhj66flp,San Diego Padres -1.5,SPREAD,LEAN,0.0244
cmu4s34vx00vxghpkse5rigrg,Missouri State Bears ML (model signal),MONEYLINE,LEAN,0
cmu3a1rmn0a8otg5jcpc8adu6,Texas A&M Aggies ML (model signal),MONEYLINE,LEAN,0
cmu0e3o9e01ik128mfafe300n,Kansas State Wildcats ML (model signal),MONEYLINE,LEAN,0
cmu20f6q00087iqaod6sod8vg,Toledo Rockets ML (model signal),MONEYLINE,LEAN,0
cmu1w53cr01jfaiu9vg3mdw6q,Vanderbilt Commodores ML (model signal),MONEYLINE,LEAN,0
cmu20zfvl01njrm1bxk58xl10,Washington State Cougars ML (model signal),MONEYLINE,LEAN,0
cmu7jlmsx000314iznkt4f2p4,Chicago Cubs ML (model signal),MONEYLINE,LEAN,0
cmu7p61u2022wackfkdupcliu,Chicago White Sox -1.5,SPREAD,PASS,0.0065
cmu1yabp0018w7cjb9pxkmtho,Boston College Eagles ML (model signal),MONEYLINE,LEAN,0
cmu4vdx2y00vdbexiaux4srbn,Missouri Tigers ML (model signal),MONEYLINE,LEAN,0
cmu7rbzjc01vrno23y53tptux,Chicago White Sox -1.5,SPREAD,PASS,0.0073
cmu7msrv100w5aav1xo13ipe3,Maryland Terrapins ML (model signal),MONEYLINE,LEAN,0
cmu09qlcy0003u4pdsyuai5mk,Arizona State Sun Devils ML (model signal),MONEYLINE,LEAN,0
cmu7ie4ct02iazdj6lpnktjd6,Cleveland Guardians -1.5,SPREAD,SPEAK,0.117
cmu7mma1q075r8lzv352ikm6h,Texas Rangers ML (model signal),MONEYLINE,LEAN,0
cmu7bpw9t01dtvxyvpvt2j5cs,Chicago White Sox -1.5,SPREAD,PASS,0.0051
cmu20f6r20089iqao1em27xjj,California Golden Bears ML (model signal),MONEYLINE,LEAN,0
cmu3fvavt0001ka5cukkzquhr,Baylor Bears ML (model signal),MONEYLINE,LEAN,0
cmu39if7404c4tg5j81lhdl18,Michigan Wolverines ML (model signal),MONEYLINE,LEAN,0
cmu5wtb9p00u2j3jx66mdd0dl,Memphis Tigers ML (model signal),MONEYLINE,LEAN,0
cmu20lxdb0140iqao0tj3g6nx,Utah Utes ML (model signal),MONEYLINE,LEAN,0
cmu7ku44q01fg9m62tfqeguuv,Philadelphia Phillies ML (model signal),MONEYLINE,LEAN,0
