,off,def,n,overall
LA,0.0752457066409883,0.03200006434029103,17,0.043245642300697267
SEA,-0.05676391052317073,-0.0774696135922126,17,0.020705703069041875
HOU,-0.09018724184096634,-0.07255915641993821,17,-0.01762808542102813
JAX,-0.05302272253350735,-0.01313307530390578,17,-0.039889647229601574
DEN,-0.0543399034690633,0.01209176709657848,17,-0.06643167056564178
PHI,-0.09624614809193074,-0.026310719062823677,17,-0.06993542902910707
NE,0.01731163712584765,0.09766295202409088,17,-0.08035131489824324
BUF,0.021552836930013152,0.10396109741535788,17,-0.08240826048534472
IND,0.009471219501879498,0.09526400236345867,17,-0.08579278286157917
KC,-0.04880574603147085,0.03992166637079252,17,-0.08872741240226337
DET,-0.021328633320851876,0.08046556930391024,17,-0.10179420262476212
GB,0.0064145684296576045,0.121403640692797,17,-0.11498907226313938
LAC,-0.1058198528232758,0.022977303358265172,17,-0.12879715618154097
SF,0.018439994779214083,0.15234307704289918,17,-0.13390308226368508
CHI,-0.01854311384980535,0.1208041130517708,17,-0.13934722690157614
BAL,-0.06249320973979175,0.12431015576216477,17,-0.18680336550195653
MIN,-0.22247446692989864,-0.03292415650755372,17,-0.18955031042234494
PIT,-0.07416464634848911,0.12569832853575438,17,-0.19986297488424348
TB,-0.09195417371752204,0.12300026158221887,17,-0.2149544352997409
ATL,-0.1300230411595573,0.09332570788220385,17,-0.22334874904176114
NO,-0.2158458693969806,0.02496176560563628,17,-0.2408076350026169
ARI,-0.10049250526099328,0.14222166971948405,17,-0.24271417498047732
NYG,-0.09136617498834225,0.15520024576004807,17,-0.2465664207483903
DAL,-0.005303252126796468,0.28274632182712883,17,-0.2880495739539253
WAS,-0.07916381040918409,0.22539146694044024,17,-0.30455527734962434
CAR,-0.1476159867912259,0.1695436615223323,17,-0.3171596483135582
CIN,-0.10714438957292005,0.21754411002943772,17,-0.3246884996023578
MIA,-0.14380295767589665,0.18830857204481635,17,-0.332111529720713
CLE,-0.3268092068051148,0.01659173849982805,17,-0.34340094530494286
LV,-0.2908247465527281,0.08841633673710068,17,-0.3792410832898288
TEN,-0.1943892277018901,0.1937199242458638,17,-0.38810915194775386
NYJ,-0.24577555849801683,0.24836189988775426,17,-0.49413745838577106
