,off,def,n,overall
BAL,-0.40354904364884636,0.48384904364884684,1,-0.8873980872976932
JAX,-0.38684904364884626,0.5407490436488465,1,-0.9275980872976928
KC,-0.5606490436488468,0.3811490436488464,1,-0.9417980872976932
SF,-0.5462490436488466,0.4604490436488478,1,-1.0066980872976945
ARI,-0.5809490436488465,0.4810490436488464,1,-1.0619980872976928
NYJ,-0.5566490436488466,0.6064490436488481,1,-1.1630980872976946
CHI,-0.31564904364884605,0.906549043648846,1,-1.222198087297692
LV,-0.7641490436488464,0.4891490436488466,1,-1.253298087297693
BUF,-0.3523402089694341,0.9081591969371275,2,-1.2604994059065615
CIN,-0.7266490436488465,0.5398490436488463,1,-1.266498087297693
SEA,-0.6594490436488465,0.6154490436488466,1,-1.274898087297693
MIN,-0.7446490436488463,0.5502490436488483,1,-1.2948980872976947
NYG,-0.35614904364884636,0.9457490436488457,1,-1.3018980872976922
PIT,-1.0278490436488463,0.40404904364884736,1,-1.4318980872976936
PHI,-0.6540490436488465,0.7849490436488461,1,-1.4389980872976926
WAS,-0.6651490436488463,0.7960490436488464,1,-1.4611980872976926
ATL,-1.0460490436488459,0.42224904364884713,1,-1.468298087297693
NO,-0.817640208969434,0.6761591969371276,1,-1.4937994059065616
HOU,-0.7413278799765212,0.7835140757899388,1,-1.52484195576646
DET,-0.5778278799765211,0.9888140757899389,2,-1.56664195576646
DAL,-0.5043490436488467,1.0939490436488466,1,-1.5982980872976933
GB,-0.8998490436488491,0.7054490436488465,1,-1.6052980872976956
NE,-0.8346490436488464,0.7906490436488461,1,-1.6252980872976925
TB,-0.9102490436488457,0.7234490436488464,1,-1.633698087297692
MIA,-0.9609490436488454,0.6859490436488465,1,-1.646898087297692
CAR,-0.5435490436488465,1.1344490436488468,1,-1.6779980872976932
TEN,-0.8436490436488474,0.8934490436488461,1,-1.7370980872976935
LAC,-0.9690490436488456,0.869149043648846,1,-1.8381980872976915
LA,-0.9896490436488463,0.9038490436488457,1,-1.8934980872976919
DEN,-1.068949043648847,0.8894490436488462,1,-1.9583980872976932
CLE,-0.909349043648846,1.0632490436488446,1,-1.9725980872976905
IND,-0.9662490436488459,1.0465490436488456,1,-2.0127980872976914
