,off,def,w26,net
ARI,-0.15387656508186587,0.17986915571163542,0.1111111111111111,-0.3337457207935013
ATL,-0.23180370810281156,0.12987274518960865,0.1111111111111111,-0.3616764532924202
BAL,-0.10038830239635337,0.1642589210829072,0.1111111111111111,-0.26464722347926056
BUF,-0.05322577224987629,0.26480071731971183,0.2,-0.3180264895695881
CAR,-0.19160854866429483,0.27675537064750055,0.1111111111111111,-0.4683639193117954
CHI,-0.051554883827476534,0.20810910534033472,0.1111111111111111,-0.25966398916781125
CIN,-0.17597824002580076,0.2533557693204831,0.1111111111111111,-0.42933400934628385
CLE,-0.39153585534330715,0.13288699462749656,0.1111111111111111,-0.5244228499708037
DAL,-0.06075278451813538,0.37287995758509745,0.1111111111111111,-0.4336327421032328
DEN,-0.16707425237792814,0.10957590893571933,0.1111111111111111,-0.2766501613136475
DET,-0.1326284826519857,0.26213527060111597,0.2,-0.39476375325310165
GB,-0.09428138846795425,0.18629757435458028,0.1111111111111111,-0.28057896282253453
HOU,-0.16253620163380575,0.022560091603381446,0.1111111111111111,-0.18509629323718718
IND,-0.09894214307042333,0.20096234028405718,0.1111111111111111,-0.2999044833544805
JAX,-0.09011453599076721,0.04840938235751113,0.1111111111111111,-0.13852391834827835
KC,-0.10567722354451262,0.07783581940168739,0.1111111111111111,-0.18351304294620002
LA,-0.04307593228010444,0.12887217315235266,0.1111111111111111,-0.1719481054324571
LAC,-0.2017342073594502,0.11699638561277415,0.1111111111111111,-0.31873059297222434
LV,-0.34341633511896347,0.132942193060628,0.1111111111111111,-0.47635852817959146
MIA,-0.23459696722844647,0.24360195777859744,0.1111111111111111,-0.4781989250070439
MIN,-0.280493864343115,0.03187286573204651,0.1111111111111111,-0.3123667300751615
NE,-0.07735066073800724,0.17466140664906366,0.1111111111111111,-0.2520120673870709
NO,-0.2827119071272532,0.09731703575357975,0.1111111111111111,-0.38002894288083294
NYG,-0.12078649372839825,0.24303900108102555,0.1111111111111111,-0.36382549480942383
NYJ,-0.280317056848109,0.2881493603056535,0.1111111111111111,-0.5684664171537626
PHI,-0.1582242475982547,0.0638292545718063,0.1111111111111111,-0.222053502170061
PIT,-0.18012957938186214,0.1566261857705425,0.1111111111111111,-0.33675576515240463
SEA,-0.12372892531491247,-0.0004786516765393628,0.1111111111111111,-0.12325027363837311
SF,-0.044303231712792664,0.186577073332449,0.1111111111111111,-0.23088030504524165
TB,-0.18287582593211354,0.18971679292295524,0.1111111111111111,-0.3725926188550688
TEN,-0.266529207251552,0.2714676041795285,0.1111111111111111,-0.5379968114310805
WAS,-0.14427328076914653,0.28879786435248533,0.1111111111111111,-0.43307114512163186
