gameKey,season,week,seasonType,team,opponent,isHome,plays,offEpaPerPlay,offSuccess,defEpaPerPlay,defSuccess
2025_01_ARI_NO,2025,1,REG,NO,ARI,True,67,-0.0417,0.4328,0.044,0.4098
2025_01_ARI_NO,2025,1,REG,ARI,NO,False,61,0.044,0.4098,-0.0417,0.4328
2025_01_TEN_DEN,2025,1,REG,DEN,TEN,True,69,-0.1479,0.3913,-0.4103,0.2364
2025_01_TEN_DEN,2025,1,REG,TEN,DEN,False,55,-0.4103,0.2364,-0.1479,0.3913
2025_01_TB_ATL,2025,1,REG,TB,ATL,False,55,0.114,0.3636,0.0551,0.4429
2025_01_TB_ATL,2025,1,REG,ATL,TB,True,70,0.0551,0.4429,0.114,0.3636
2025_01_SF_SEA,2025,1,REG,SF,SEA,False,70,0.1124,0.5,-0.2654,0.4694
2025_01_SF_SEA,2025,1,REG,SEA,SF,True,49,-0.2654,0.4694,0.1124,0.5
2025_01_PIT_NYJ,2025,1,REG,PIT,NYJ,False,53,0.1703,0.4151,0.212,0.5
2025_01_PIT_NYJ,2025,1,REG,NYJ,PIT,True,64,0.212,0.5,0.1703,0.4151
2025_01_NYG_WAS,2025,1,REG,NYG,WAS,False,62,-0.2411,0.3387,0.1857,0.5323
2025_01_NYG_WAS,2025,1,REG,WAS,NYG,True,62,0.1857,0.5323,-0.2411,0.3387
2025_01_MIN_CHI,2025,1,REG,CHI,MIN,True,63,-0.0714,0.381,-0.1769,0.4118
2025_01_MIN_CHI,2025,1,REG,MIN,CHI,False,51,-0.1769,0.4118,-0.0714,0.381
2025_01_MIA_IND,2025,1,REG,MIA,IND,False,47,-0.2568,0.4255,0.2646,0.5286
2025_01_MIA_IND,2025,1,REG,IND,MIA,True,70,0.2646,0.5286,-0.2568,0.4255
2025_01_LV_NE,2025,1,REG,NE,LV,True,68,-0.0661,0.4118,0.1147,0.4333
2025_01_LV_NE,2025,1,REG,LV,NE,False,60,0.1147,0.4333,-0.0661,0.4118
