team,takeaways,giveaways,ff_forced,fumbles,fumbles_lost,plays,dropbacks,def_dropbacks,actual_to,actual_gv,actual_to_diff,naive_to_diff,exp_to_diff,ff_rate,int_rate
ARI,7,8,6,5,4,542,287,285,12,13,-1,-1,-0.01108006891485025,0.0115325165933908,0.003645532734636921
ATL,7,9,7,11,6,534,253,214,15,10,5,-2,-0.02723165826546345,0.013020609417296967,0.0016093591746347826
BAL,4,10,6,10,5,488,219,279,17,12,5,-6,-0.10694970621029273,0.012437685046941822,-0.003296487786556968
BUF,8,6,13,7,2,544,243,226,13,12,1,2,-0.14478766949428595,0.020910117355236523,-0.011739875692640796
CAR,8,11,3,10,5,629,292,271,13,12,1,-3,0.07901822762926228,0.006703410509404069,0.013267949500159288
CHI,16,6,7,9,2,549,256,222,17,5,12,10,0.24035028508756417,0.0127598495491268,0.02576829768700823
CIN,9,11,3,7,3,583,311,298,12,13,-1,-2,0.09938596894250745,0.0070972251753460705,0.014700461472247904
CLE,10,10,14,3,2,632,329,261,8,15,-7,0,-0.09953295316344055,0.019900393404201893,-0.008307039563097175
DAL,7,8,6,6,2,654,322,305,4,14,-10,-1,-0.01622591375942553,0.010020055400814958,0.003485289537510024
DEN,8,7,7,4,2,638,312,308,8,8,0,1,-0.009067145194945544,0.011404686530186127,0.0034624601300590847
DET,11,5,10,5,2,536,221,278,8,10,-2,6,0.01743854877497679,0.017061314283010835,0.003705155933567899
GB,4,3,3,5,1,537,237,304,9,11,-2,1,-0.030351302173094508,0.007540199880998607,0.0034929663867115874
HOU,11,7,5,3,2,534,272,243,17,6,11,4,0.13348611553325562,0.010295813776969991,0.016757777963274965
IND,12,4,2,4,1,585,272,349,10,18,-8,8,0.1934586343070264,0.00580525772267003,0.021214041562258642
JAX,14,6,6,4,1,564,293,280,17,12,5,8,0.22140064619908129,0.011200428419235567,0.019966992417597817
KC,9,4,9,8,0,625,330,265,5,11,-6,5,-0.015058355650638316,0.014008639166419362,0.0014115825049808696
LA,10,7,9,8,5,525,254,293,16,8,8,3,0.01502322325237107,0.015940865258339272,0.003579699186381627
LAC,8,11,7,8,4,636,343,296,14,10,4,-3,-0.012319089811088826,0.011431970469253558,0.0035556204923028268
LV,7,12,10,5,2,493,229,267,9,11,-2,-5,-0.07027652407938062,0.018119952831595922,-0.0057894322792156816
MIA,7,12,10,11,2,560,276,257,12,13,-1,-5,-0.09960759185583842,0.016522535937231544,-0.0059316787725625045
MIN,9,11,9,11,3,506,262,218,13,18,-5,-2,-0.008081638732256174,0.016369868714300247,0.0015918661401278828
NE,11,9,6,12,6,599,289,284,8,7,1,2,0.059454180673534196,0.010709796385852283,0.012870522441398757
NO,10,12,12,7,5,625,326,258,11,11,0,-2,-0.05436040604687395,0.017645002802783,-0.0034661599520415176
NYG,5,9,5,7,3,626,305,330,10,8,2,-4,-0.040529102091510255,0.009149064542731202,0.0012204307074313767
NYJ,1,10,9,10,7,612,304,263,2,14,-12,-9,-0.1690702450617634,0.014232915409231495,-0.017952041792815832
PHI,7,3,6,5,2,584,263,303,14,11,3,4,-0.016752097662545706,0.01091470320445915,0.00350067712928711
PIT,10,6,8,7,1,492,228,307,17,9,8,4,0.03884407870502424,0.01525596432412713,0.005658220436689411
SEA,9,11,1,10,6,515,208,318,18,15,3,-2,0.173828258488181,0.004975003233980383,0.018345740896510816
SF,7,12,13,6,3,638,324,292,8,11,-3,-5,-0.12601946679643064,0.01856459106479233,-0.012249306019079049
TB,12,5,9,9,3,618,305,330,10,12,-2,7,0.04660142202384028,0.014128517496694344,0.007470430707431377
TEN,7,15,4,9,9,596,315,270,5,6,-1,-8,0.012970304119778113,0.008237597125999967,0.008537635094207288
WAS,5,10,10,9,5,581,282,288,6,12,-6,-5,-0.11103416411770306,0.016078268005500607,-0.010078066804641414
