posteam,fumbles,fumbles_lost,ints,rec_share,luck_flag
ARI,0,0,0,,NEUTRAL
ATL,2,0,2,1.0,LUCKY
BAL,1,1,0,0.0,UNLUCKY
BUF,3,0,0,1.0,LUCKY
CAR,1,1,1,0.0,UNLUCKY
CHI,2,2,0,0.0,UNLUCKY
CIN,0,0,1,,NEUTRAL
CLE,2,1,1,0.5,NEUTRAL
DAL,0,0,1,,NEUTRAL
DEN,3,1,1,0.6666666666666666,NEUTRAL
DET,4,1,0,0.75,LUCKY
GB,2,1,1,0.5,NEUTRAL
HOU,2,2,0,0.0,UNLUCKY
IND,1,1,1,0.0,UNLUCKY
JAX,1,0,0,1.0,LUCKY
KC,2,0,1,1.0,LUCKY
LA,2,1,1,0.5,NEUTRAL
LAC,1,1,1,0.0,UNLUCKY
LV,0,0,2,,NEUTRAL
MIA,2,1,1,0.5,NEUTRAL
MIN,0,0,1,,NEUTRAL
NE,0,0,3,,NEUTRAL
NO,2,1,2,0.5,NEUTRAL
NYG,4,1,0,0.75,LUCKY
NYJ,1,0,0,1.0,LUCKY
PHI,0,0,0,,NEUTRAL
PIT,1,1,0,0.0,UNLUCKY
SEA,0,0,0,,NEUTRAL
SF,0,0,1,,NEUTRAL
TB,4,4,0,0.0,UNLUCKY
TEN,1,1,0,0.0,UNLUCKY
WAS,1,0,0,1.0,LUCKY
