game,gameday,model_margin_home,market_spread_home_fav_pos,edge_home_view,p_win_model,net_home,net_away
ATL @ GB,2026-09-24,5.8,6.5,-0.7,0.667,0.0762,-0.0762
LAC @ BUF,2026-09-27,8.3,4.5,3.8,0.732,0.1291,-0.1291
CAR @ CLE,2026-09-27,-0.5,-2.5,2.0,0.485,-0.0559,0.0559
NYJ @ DET,2026-09-27,15.6,7.5,8.1,0.877,0.2809,-0.2809
HOU @ IND,2026-09-27,-2.9,-2.5,-0.4,0.415,-0.1051,0.1051
NE @ JAX,2026-09-27,6.9,2.5,4.4,0.694,0.0981,-0.0981
KC @ MIA,2026-09-27,-10.5,-8.5,-2.0,0.218,-0.2643,0.2643
TEN @ NYG,2026-09-27,10.1,5.5,4.6,0.773,0.1655,-0.1655
CIN @ PIT,2026-09-27,7.2,-2.5,9.7,0.703,0.1048,-0.1048
SEA @ WAS,2026-09-27,-13.0,-2.5,-10.5,0.167,-0.3165,0.3165
ARI @ SF,2026-09-27,6.9,8.5,-1.6,0.694,0.098,-0.098
MIN @ TB,2026-09-27,0.5,1.5,-1.0,0.513,-0.0354,0.0354
BAL @ DAL,2026-09-27,-6.0,-3.0,-3.0,0.327,-0.1709,0.1709
LV @ NO,2026-09-27,8.0,3.0,5.0,0.724,0.1227,-0.1227
LA @ DEN,2026-09-27,-3.0,-2.5,-0.5,0.411,-0.1081,0.1081
PHI @ CHI,2026-09-28,0.5,1.5,-1.0,0.514,-0.0348,0.0348
