player,rushing_epa_per_game_approx,rushing_tds_per_game_approx
Priest Holmes,1.5,0.90
LaDainian Tomlinson,-0.4,0.85
Jonathan Taylor,0.0,0.83
Derrick Henry,0.1,0.82
Jahmyr Gibbs,0.35,0.82
Shaun Alexander,-0.5,0.81
Todd Gurley,-1.0,0.77
Josh Jacobs,-1.6,0.70
Kyren Williams,0.05,0.70
Arian Foster,-0.75,0.685
Larry Johnson,-0.55,0.685
Jalen Hurts,2.0,0.685
Adrian Peterson,-0.75,0.67
Josh Allen,2.5,0.65
Stephen Davis,-0.8,0.63
Jerome Bettis,-0.7,0.61
Corey Dillon,-0.7,0.60
Marshall Faulk,0.55,0.60
Eddie George,-2.4,0.54
Joe Mixon,-1.3,0.56
Ezekiel Elliott,-1.1,0.55
James Conner,-0.5,0.56
Nick Chubb,-0.25,0.55
Dalvin Cook,-1.15,0.54
Deuce McAllister,-0.95,0.53
Melvin Gordon,-1.35,0.51
Alvin Kamara,-0.75,0.51
Joseph Addai,-0.45,0.52
James Cook,0.05,0.48
Cam Newton,1.5,0.52
