rank,team,tier,market_implied_win_pct_vs_avg_neutral
1,Rams,The Favorites,72.6
2,Bills,The Favorites,67.7
3,Seahawks,True Contenders,65.6
4,Chiefs,True Contenders,65.5
5,Ravens,True Contenders,65.2
6,49ers,True Contenders,64.2
7,Eagles,True Contenders,62.2
8,Broncos,Above Average,60.5
9,Bears,Above Average,60.0
10,Patriots,Above Average,59.3
11,Texans,Above Average,59.2
12,Chargers,Above Average,59.1
13,Lions,Above Average,58.3
14,Packers,Above Average,56.8
15,Jaguars,Above Average,56.7
16,Cowboys,Above Average,56.5
17,Bengals,Above Average,55.7
18,Vikings,Below Average,49.0
19,Buccaneers,Below Average,48.3
20,Giants,Below Average,46.9
21,Steelers,Below Average,45.2
22,Colts,Below Average,43.1
23,Commanders,Below Average,42.9
24,Saints,Below Average,41.0
25,Panthers,Bad,38.4
26,Raiders,Bad,35.9
27,Falcons,Bad,33.4
28,Jets,Bad,33.0
29,Cardinals,Bad,32.6
30,Titans,Very Bad,26.0
31,Dolphins,Very Bad,25.6
32,Browns,Very Bad,20.1
