metric,rank,player,air_yards
Catchable Air Yards,1,Chris Olave,305
Catchable Air Yards,T2,Adonai Mitchell,188
Catchable Air Yards,T2,Jaxon Smith-Njigba,188
Catchable Air Yards,T2,Parker Washington,188
Catchable Air Yards,5,DK Metcalf,174
Uncatchable Air Yards,1,Chris Moore,125
Uncatchable Air Yards,2,Tetairoa McMillan,117
Uncatchable Air Yards,3,DeVonta Smith,111
Uncatchable Air Yards,4,Terry McLaurin,104
Uncatchable Air Yards,5,Emeka Egbuka,104
Uncatchable Air Yards,6,Tez Johnson,100
Uncatchable Air Yards,7,Matthew Golden,85
Uncatchable Air Yards,8,Xavier Hutchinson,82
