metric,definition,sf_value,sf_percentile,mia_value,mia_percentile
EPA/Play,,0.38,98.0,0.09,67.7
EPA/Dropback,,0.91,99.7,0.14,59.7
EPA/Rush,,-0.25,24.2,0.04,75.6
ST EPA/Play,,0.25,90.9,-0.25,9.1
Yards/Play,,7.8,96.6,5.5,46.1
Explosive Play Rate,rush 10+ yds; pass 20+ yds,14.3%,85.2,5.8%,15.1
3rd Down Efficiency,incl. plays with penalties,83%,100.0,50%,82.3
Points/Redzone Trip,excl. XP & 2-pt conv.,6.0,100.0,3.0,8.5
Turnover Rate,"offensive plays, kick returns & punts",0.0%,100.0,0.0%,100.0
Penalties (n/yds),percentile for penalty yards,"7/78",16.7,"7/50",47.6
YAC%,,38%,28.4,53%,72.6
Avg Starting Position,,Own 35,86.4,Own 28,33.4
Time of Possession,excl. OT,29:48,48.3,30:12,51.7
% Game Time Favored,Vegas win probability,100.0%,100.0,0.0%,0.0%
