QB,OPP,Total_QBR,EPA_Play,CPOE_pct,Success_Rate_pct,Time_to_Throw_s,aDOT,YAC_pct,QB_Rating
Brock Purdy,Dolphins,99.7,0.99,16.7,76.9,3.04,8.59,38,149.1
Josh Allen,Patriots,91.7,0.53,-2.6,64.6,2.84,7.86,35,121.4
Bryce Young,Cardinals,91.2,0.27,11.5,45.0,2.94,10.33,31,116.3
Dak Prescott,Washington,89.8,0.46,17.7,65.8,2.66,8.17,32,143.8
Drew Lock,Cardinals,88.8,0.60,12.0,55.2,2.77,9.13,46,139.1
Marcus Mariota,Cowboys,84.0,0.27,7.7,55.0,3.19,11.97,33,109.1
Jalen Hurts,Chiefs,79.6,0.18,6.1,45.7,3.50,9.20,23,85.9
Patrick Mahomes,Eagles,78.6,0.25,1.8,51.9,2.79,6.20,58,114.0
Tyler Shough,49ers,76.8,0.25,12.1,47.9,2.73,5.42,46,107.4
Bo Nix,Colts,75.5,0.33,7.4,54.3,2.74,9.40,34,97.2
Daniel Jones,Chiefs,73.0,0.27,9.5,52.8,2.80,5.24,50,86.8
Lamar Jackson,Browns,72.7,0.08,8.3,53.8,3.09,10.21,36,87.4
Jared Goff,Bears,72.7,0.45,6.7,55.3,2.94,9.04,39,130.0
Jayden Daniels,Cowboys,70.7,0.10,1.2,48.0,2.91,10.61,48,99.1
Deshaun Watson,Ravens,69.1,0.35,3.0,55.3,2.55,3.74,68,121.9
Drake Maye,Dolphins,66.0,0.07,3.2,48.3,2.94,9.84,33,75.6
Kirk Cousins,Vikings,65.5,0.23,-0.5,48.5,2.85,9.43,31,113.1
Caleb Williams,Lions,63.6,0.05,-5.7,32.4,3.71,3.92,87,56.2
Cam Ward,Rams,60.2,0.13,3.4,44.4,3.07,6.58,57,94.4
Malik Willis,49ers,56.0,0.20,-7.1,37.5,2.98,6.44,53,103.0
Joe Burrow,Jaguars,54.6,-0.02,-4.9,27.8,2.48,5.86,36,105.2
Trevor Lawrence,Bengals,53.1,-0.11,0.7,44.7,2.80,10.60,19,63.7
Baker Mayfield,Texans,53.0,-0.29,3.8,34.1,2.99,12.54,46,73.4
C.J. Stroud,Colts,49.7,-0.06,-3.5,41.3,2.98,9.40,39,74.3
Geno Smith,Packers,44.4,0.07,7.5,46.0,2.93,7.34,65,90.2
Jacoby Brissett,Seahawks,41.3,-0.22,-1.9,35.3,2.71,4.04,61,63.8
Jordan Love,Jets,40.5,0.06,-9.8,34.2,2.30,7.59,65,91.9
Carson Wentz,Bears,31.5,-0.05,-9.3,40.7,2.47,8.24,49,77.7
Aaron Rodgers,Patriots,26.8,-0.42,-1.9,44.7,2.58,4.70,70,60.5
Justin Herbert,Raiders,15.6,-0.17,-4.3,36.1,2.86,9.54,54,59.5
Jack Strand,Panthers,12.3,-0.62,-18.3,30.0,2.54,2.41,88,35.1
Cooper Rush,Panthers,6.1,-0.76,-10.4,38.1,2.19,6.45,63,32.6
