tier,rank,team,market_implied_win_pct
The Favorites,1,LAR,74.2
The Favorites,2,BUF,70.9
The Favorites,3,SEA,68.1
The Favorites,4,SF,67.8
The Favorites,5,BAL,66.7
The Favorites,6,KC,66.0
In The Mix,7,PHI,64.0
In The Mix,8,HOU,61.0
In The Mix,9,DEN,60.1
In The Mix,10,NE,59.8
In The Mix,11,CIN,59.4
In The Mix,12,JAX,59.3
In The Mix,13,DAL,59.1
Above Average,14,DET,56.9
Above Average,15,GB,55.9
Above Average,16,CHI,55.4
Above Average,17,LAC,51.2
Above Average,18,MIN,51.1
Below Average,19,IND,45.4
Below Average,20,TB,42.7
Below Average,21,NO,42.1
Below Average,22,PIT,41.9
Below Average,23,NYG,41.2
Below Average,24,LV,39.0
Below Average,25,CAR,38.5
Bad,26,WAS,35.6
Bad,27,NYJ,33.9
Bad,28,ARI,32.7
Bad,29,ATL,31.9
Very Bad,30,CLE,25.2
Very Bad,31,TEN,25.1
Very Bad,32,MIA,21.9
