rank,team,composite,std_dev,fpi,fpi_rank,nfelo,nfelo_rank,inpredictable,inpredictable_rank,unexpected_points,unexpected_points_rank,ftn_dvoa,ftn_dvoa_rank,pff,pff_rank
1,BUF,5.8,0.6,5.5,2,5.8,1,5.2,3,5.2,2,6.8,1,6.1,1
2,LAR,5.5,0.6,4.7,3,5.1,2,5.4,2,6.3,1,6.0,2,5.7,3
3,SF,4.9,1.3,7.3,1,3.7,5,4.2,6,4.6,4,5.3,3,4.2,4
4,SEA,4.6,1.1,3.0,6,5.0,3,5.5,1,4.8,3,3.6,4,6.0,2
5,BAL,3.9,0.4,4.1,5,3.8,4,3.7,7,4.4,5,3.2,6,4.0,5
6,KC,3.9,0.5,4.4,4,3.3,6,4.4,5,4.3,6,3.4,5,3.8,6
7,NE,2.5,1.1,1.9,10,2.9,7,1.9,11,4.1,7,0.9,14,3.1,8
8,PHI,2.5,1.6,1.6,12,1.9,10,5.1,4,0.5,16,2.5,9,3.3,7
9,DET,2.0,0.8,2.1,9,2.3,8,0.6,16,3.2,8,2.2,10,1.9,10
10,JAX,2.0,0.8,2.6,8,0.9,15,2.5,9,2.9,9,2.0,12,1.4,12
11,HOU,1.9,0.7,1.1,14,1.7,11,2.5,9,1.1,15,2.8,7,1.9,11
12,CIN,1.8,0.8,1.7,11,2.2,9,2.9,8,2.0,11,1.0,13,0.9,14
13,DAL,1.7,1.0,3.0,6,1.7,12,0.8,15,1.4,14,2.8,7,0.7,16
14,DEN,1.6,1.0,-0.3,16,1.4,13,1.7,12,2.0,11,2.2,10,2.5,9
15,MIN,0.6,1.2,1.4,13,1.7,13,1.5,13,-0.5,19,-1.1,17,0.8,15
16,GB,0.0,1.5,0.5,15,0.6,16,-2.1,20,1.5,13,-1.5,20,1.3,13
17,LAC,-0.5,0.6,-1.3,20,-0.6,17,-0.1,17,-0.2,17,-1.3,18,0.2,17
18,CHI,-0.9,2.3,-2.0,22,-1.6,22,1.2,14,2.6,10,-2.7,24,-2.9,26
19,TB,-1.0,0.9,-1.1,18,-1.0,19,-1.4,18,-0.4,18,0.1,16,-2.5,23
20,IND,-1.1,1.0,-1.2,19,-0.9,18,-1.4,18,-1.3,22,0.7,15,-2.5,25
21,CAR,-1.6,0.6,-1.4,21,-1.5,21,-2.1,20,-0.5,19,-1.8,21,-2.2,20
22,PIT,-1.8,0.8,-2.7,23,-1.2,20,-2.2,23,-1.1,21,-2.6,23,-1.1,18
23,NO,-2.3,1.3,-0.6,17,-2.0,23,-2.2,23,-1.8,24,-4.7,27,-2.4,22
24,LV,-3.2,0.5,-3.0,24,-3.2,25,-3.5,27,-3.9,25,-3.0,24,-2.5,24
25,WAS,-3.2,1.0,-3.5,26,-3.7,26,-2.7,25,-1.4,23,-3.6,26,-4.1,27
26,NYJ,-3.9,0.9,-3.2,25,-4.8,28,-4.5,29,-4.0,26,-2.3,22,-4.3,28
27,ARI,-4.3,1.9,-5.2,28,-6.0,30,-2.7,25,-4.8,27,-1.4,19,-5.9,31
28,NYG,-4.3,2.4,-8.3,32,-3.1,24,-2.1,20,-4.8,27,-5.5,30,-2.3,21
29,ATL,-4.8,1.7,-5.3,29,-4.3,27,-7.2,31,-5.3,29,-4.8,28,-1.9,19
30,TEN,-5.2,0.8,-4.7,27,-5.4,29,-4.1,28,-6.5,31,-4.8,28,-5.6,30
31,CLE,-6.3,0.6,-6.2,30,-6.2,31,-6.4,30,-6.2,30,-7.4,32,-5.4,29
32,MIA,-8.0,0.9,-8.0,31,-8.2,32,-8.3,32,-8.1,32,-6.2,31,-8.9,32
