rank,team,pff,sis,espn,score
1,SF,89,98,65,88
2,CHI,61,100,100,84
3,PHI,79,92,50,78
4,MIN,73,94,25,72
5,NYJ,100,69,20,71
6,NE,72,79,50,70
7,LV,91,64,35,69
8,DAL,69,80,45,69
9,PIT,56,72,85,68
10,TB,76,63,50,66
11,BUF,66,56,85,66
12,KC,65,43,85,60
13,IND,77,61,20,59
14,CLE,88,34,45,58
15,TEN,73,48,50,58
16,LAC,57,84,0,56
17,CAR,98,28,25,55
18,NYG,57,54,55,55
19,LAR,35,55,75,51
20,ATL,58,42,50,50
21,WAS,50,46,45,48
22,NO,32,81,10,47
23,GB,9,65,75,44
24,DEN,17,50,70,41
25,ARI,52,25,45,40
26,SEA,19,53,55,40
27,CIN,38,42,20,36
28,JAX,40,8,70,33
29,HOU,43,30,10,31
30,DET,20,38,10,25
31,BAL,0,23,75,24
32,MIA,2,0,25,6
