matchup,side,metric,window_2025_wk13_17,rank_2025,window_2026_wk1_2,rank_2026,seven_game_avg
ATL ground vs GB,ATL offense,ARBY per carry,2.95,8,2.75,15,2.89
ATL ground vs GB,GB defense allowed,ARBY per carry allowed,2.88,22,1.57,2,2.50
ATL ground vs GB,ATL offense,RB YPC,5.21,6,4.16,12,4.91
ATL ground vs GB,GB defense allowed,RB YPC allowed,4.48,17,2.81,1,4.00
ATL ground vs GB,Delta (offense minus defense allowed),ARBY per carry delta,,,,,0.39
ATL ground vs GB,Delta (offense minus defense allowed),RB YPC delta,,,,,0.91
GB ground vs ATL,GB offense,ARBY per carry,3.16,3,2.09,28,2.85
GB ground vs ATL,ATL defense allowed,ARBY per carry allowed,2.78,20,2.12,7,2.59
GB ground vs ATL,GB offense,RB YPC,4.47,13,3.39,27,4.16
GB ground vs ATL,ATL defense allowed,RB YPC allowed,4.78,22,3.34,7,4.37
GB ground vs ATL,Delta (offense minus defense allowed),ARBY per carry delta,,,,,0.26
GB ground vs ATL,Delta (offense minus defense allowed),RB YPC delta,,,,,-0.21
