player,explosive_play_rate_approx,negative_play_rate_approx,note
Josh Allen,12.7,8.5,values read from unlabeled chart axes; approximate
Bryce Young,11.7,1.5,values read from unlabeled chart axes; approximate
Matthew Stafford,11.5,7.0,values read from unlabeled chart axes; approximate
Trevor Lawrence,11.5,6.0,values read from unlabeled chart axes; approximate
Jalen Hurts,10.5,10.5,values read from unlabeled chart axes; approximate
Jordan Love,9.5,10.5,values read from unlabeled chart axes; approximate
Malik Willis,9.8,9.0,values read from unlabeled chart axes; approximate
Tyler Shough,10.3,5.5,values read from unlabeled chart axes; approximate
Joe Burrow,9.0,6.0,values read from unlabeled chart axes; approximate
Lamar Jackson,8.3,6.0,values read from unlabeled chart axes; approximate
Brock Purdy,9.5,4.5,values read from unlabeled chart axes; approximate
Drew Lock,9.3,2.5,values read from unlabeled chart axes; approximate
Deshaun Watson,7.3,11.0,values read from unlabeled chart axes; approximate
Jared Goff,6.8,11.0,values read from unlabeled chart axes; approximate
Bo Nix,7.2,9.5,values read from unlabeled chart axes; approximate
Caleb Williams,7.8,4.5,values read from unlabeled chart axes; approximate
Kirk Cousins,8.0,6.0,values read from unlabeled chart axes; approximate
C.J. Stroud,8.2,4.5,values read from unlabeled chart axes; approximate
Patrick Mahomes,8.2,3.5,values read from unlabeled chart axes; approximate
Carson Wentz,5.7,7.5,values read from unlabeled chart axes; approximate
Drake Maye,5.2,8.0,values read from unlabeled chart axes; approximate
Cam Ward,5.5,6.0,values read from unlabeled chart axes; approximate
Geno Smith,5.7,5.5,values read from unlabeled chart axes; approximate
Dak Prescott,5.0,6.5,values read from unlabeled chart axes; approximate
Daniel Jones,5.5,4.0,values read from unlabeled chart axes; approximate
Justin Herbert,4.3,6.3,values read from unlabeled chart axes; approximate
Jameis Winston,3.2,8.5,values read from unlabeled chart axes; approximate
Jaxson Dart,2.2,6.3,values read from unlabeled chart axes; approximate
Jayden Daniels,4.8,1.5,values read from unlabeled chart axes; approximate
Aaron Rodgers,3.8,2.5,values read from unlabeled chart axes; approximate
Jacoby Brissett,2.2,3.0,values read from unlabeled chart axes; approximate
Cooper Rush,6.2,17.0,values read from unlabeled chart axes; approximate
Baker Mayfield,6.0,14.5,values read from unlabeled chart axes; approximate
