rank,player,team,dropbacks,cpoe,pff_grade,pff_grade_rank
1,Jaxson Dart,NYG,39,10.7,64.6,19
2,Bryce Young,CAR,80,9.4,80.9,6
3,Trevor Lawrence,JAX,56,8.8,77.2,8
4,Brock Purdy,SF,61,8.6,81.9,4
5,Lamar Jackson,BLT,68,8.6,76.8,9
6,Dak Prescott,DAL,72,8.3,88.7,2
7,Josh Allen,BUF,70,7.6,76.4,11
8,Jalen Hurts,PHI,77,7.5,81.8,5
9,Geno Smith,NYJ,75,7.2,72.6,13
10,Tyler Shough,NO,102,6.7,79.3,7
11,Deshaun Watson,CLV,66,5.7,63.2,22
12,Caleb Williams,CHI,70,5.5,61.4,24
13,Baker Mayfield,TB,77,4.6,59.0,27
14,Matthew Stafford,LA,58,3.8,64.6,19
15,Drake Maye,NE,69,3.6,50.2,32
16,Drew Lock,SEA,51,3.2,91.4,1
17,Jacoby Brissett,ARZ,70,3.1,67.5,16
18,Jared Goff,DET,85,3.0,76.7,10
19,Bo Nix,DEN,65,2.1,55.8,29
20,Joe Burrow,CIN,73,2.0,72.7,12
21,Kirk Cousins,LV,63,1.3,66.6,17
22,Patrick Mahomes,KC,84,1.0,87.5,3
23,C.J. Stroud,HST,104,0.4,63.9,21
24,Cam Ward,TEN,63,-0.2,59.3,26
25,Justin Herbert,LAC,66,-0.9,53.3,30
26,Daniel Jones,IND,67,-3.5,68.3,15
27,Jayden Daniels,WAS,61,-3.6,70.2,14
28,Aaron Rodgers,PIT,86,-3.9,66.6,17
29,Carson Wentz,MIN,47,-6.8,60.8,25
30,Malik Willis,MIA,65,-7.4,62.8,23
31,Cooper Rush,ATL,46,-9.9,29.5,33
32,Jordan Love,GB,78,-11.5,52.1,31
33,Jameis Winston,NYG,29,-24.6,56.8,28
