rank,player,epa_per_play_approx,note
1,Jaxson Dart,1.2,bar value read from unlabeled x-axis; approximate
2,Josh Allen,0.95,bar value read from unlabeled x-axis; approximate
3,Caleb Williams,0.62,bar value read from unlabeled x-axis; approximate
4,Dak Prescott,0.48,bar value read from unlabeled x-axis; approximate
5,Brock Purdy,0.47,bar value read from unlabeled x-axis; approximate
6,Jared Goff,0.40,bar value read from unlabeled x-axis; approximate
7,Kirk Cousins,0.31,bar value read from unlabeled x-axis; approximate
8,Lamar Jackson,0.30,bar value read from unlabeled x-axis; approximate
9,Trevor Lawrence,0.28,bar value read from unlabeled x-axis; approximate
10,Jalen Hurts,0.27,bar value read from unlabeled x-axis; approximate
11,Patrick Mahomes,0.27,bar value read from unlabeled x-axis; approximate
12,Jayden Daniels,0.25,bar value read from unlabeled x-axis; approximate
13,Bryce Young,0.24,bar value read from unlabeled x-axis; approximate
14,Tyler Shough,0.24,bar value read from unlabeled x-axis; approximate
15,Geno Smith,0.19,bar value read from unlabeled x-axis; approximate
16,Matthew Stafford,0.18,bar value read from unlabeled x-axis; approximate
17,Carson Wentz,0.18,bar value read from unlabeled x-axis; approximate
18,Malik Willis,0.01,bar value read from unlabeled x-axis; approximate
19,Deshaun Watson,0.01,bar value read from unlabeled x-axis; approximate
20,C.J. Stroud,0.0,bar value read from unlabeled x-axis; approximate
21,Drew Lock,0.01,bar value read from unlabeled x-axis; approximate
22,Drake Maye,0.01,bar value read from unlabeled x-axis; approximate
23,Cam Ward,0.0,bar value read from unlabeled x-axis; approximate
24,Jacoby Brissett,0.0,bar value read from unlabeled x-axis; approximate
25,Joe Burrow,0.0,bar value read from unlabeled x-axis; approximate
26,Daniel Jones,-0.01,bar value read from unlabeled x-axis; approximate
27,Baker Mayfield,-0.17,bar value read from unlabeled x-axis; approximate
28,Jordan Love,-0.18,bar value read from unlabeled x-axis; approximate
29,Justin Herbert,-0.26,bar value read from unlabeled x-axis; approximate
30,Bo Nix,-0.42,bar value read from unlabeled x-axis; approximate
31,Aaron Rodgers,-0.60,bar value read from unlabeled x-axis; approximate
32,Cooper Rush,-0.63,bar value read from unlabeled x-axis; approximate
