rank,team,pct_5_minus_box_def,pct_6_box_def,pct_7_box_def,pct_8plus_box_def,avg_box_def,off_success_rate
1,BUF,6.1,30.3,42.4,21.2,6.91,59.2
2,CLE,9.4,26.4,41.5,22.6,6.85,44.6
3,NE,7.8,23.5,49.0,19.6,6.82,43.4
4,LA,3.6,46.4,23.2,26.8,6.80,53.4
5,MIN,17.6,27.5,29.4,25.5,6.73,34.6
6,CHI,4.3,36.2,43.5,15.9,6.71,31.5
7,DEN,10.7,35.7,30.4,23.2,6.66,47.5
8,SEA,6.0,23.9,67.2,3.0,6.64,48.6
9,CAR,5.1,42.4,40.7,11.9,6.61,40.0
10,SF,6.4,38.3,44.7,10.6,6.60,54.0
11,DAL,5.6,40.7,46.3,7.4,6.56,56.4
12,JAX,10.9,47.3,21.8,20.0,6.51,45.0
13,ATL,3.0,44.8,49.3,3.0,6.51,34.8
14,NYJ,5.6,46.5,39.4,8.5,6.48,38.4
15,MIA,7.1,46.4,37.5,8.9,6.46,41.7
16,PIT,7.5,49.3,35.8,7.5,6.40,38.6
17,CIN,19.0,34.5,32.8,13.8,6.36,30.5
18,PHI,8.3,45.8,44.4,1.4,6.36,39.5
19,TEN,13.7,51.0,27.5,7.8,6.35,41.5
20,BAL,3.6,58.2,38.2,0.0,6.35,61.4
21,NYG,20.0,41.8,27.3,10.9,6.35,29.3
22,LV,7.0,59.6,26.3,7.0,6.33,35.0
23,IND,6.3,57.1,34.9,1.6,6.32,49.2
24,GB,10.0,60.0,24.0,6.0,6.26,32.2
25,KC,9.0,55.1,34.6,1.3,6.26,53.8
26,LAC,8.1,66.1,24.2,1.6,6.18,34.3
27,WAS,17.9,55.2,22.4,4.5,6.16,49.3
28,TB,19.4,45.2,33.9,1.6,6.16,36.9
29,NO,7.8,76.6,14.1,1.6,6.08,44.8
30,HOU,10.7,69.3,16.0,4.0,6.07,34.2
31,ARI,10.6,63.8,25.6,0.0,6.06,34.0
32,DET,33.9,40.3,22.6,3.2,5.90,49.2
