rank,player,epa_gained
1,Josh Allen,7.8
2,Dak Prescott,7.7
3,Jordan Love,6.5
4,Aaron Rodgers,6.4
5,Justin Herbert,6.1
6,Carson Wentz,5.8
7,Geno Smith,5.8
8,Drake Maye,5.0
9,Kirk Cousins,4.8
10,Jared Goff,4.8
11,Tyler Shough,4.6
12,Daniel Jones,4.4
13,Matthew Stafford,4.0
14,C.J. Stroud,4.0
15,Baker Mayfield,4.0
16,Jacoby Brissett,3.6
17,Malik Willis,3.0
18,Bo Nix,2.8
19,Caleb Williams,2.3
20,Jameis Winston,1.8
21,Deshaun Watson,1.6
22,Drew Lock,1.2
23,Trevor Lawrence,1.1
24,Jayden Daniels,1.0
25,Brock Purdy,0.9
26,Marcus Mariota,0.9
27,Bryce Young,0.8
28,Joe Burrow,0.2
