player,avg_time_to_throw,first_read_pct,second_read_pct,designated_receiver_pct,checkdown_pct,scramble_pct
Carson Wentz,2.47,76.2,4.8,9.5,9.5,0.0
Matthew Stafford,2.63,71.9,12.5,6.2,3.1,6.2
Daniel Jones,2.80,70.6,2.9,8.8,8.8,8.8
Cooper Rush,2.19,70.0,5.0,5.0,10.0,10.0
Dak Prescott,2.66,68.6,5.7,8.6,8.6,8.6
Drew Lock,2.77,67.9,7.1,14.3,7.1,3.6
Jameis Winston,2.86,67.9,10.7,7.1,10.7,3.6
Jared Goff,2.94,66.7,7.1,4.8,16.7,4.8
Justin Herbert,2.86,63.6,3.0,6.1,12.1,15.2
Jacoby Brissett,2.71,63.3,3.3,0.0,20.0,13.3
Cam Ward,3.07,61.9,0.0,9.5,9.5,19.0
Jalen Hurts,3.50,60.5,5.3,7.9,5.3,21.1
Kirk Cousins,2.85,58.1,3.2,19.4,12.9,6.5
Tyler Shough,2.73,56.8,0.0,8.1,16.2,18.9
Jayden Daniels,2.91,56.5,0.0,0.0,17.4,26.1
C.J. Stroud,2.98,56.4,10.9,1.8,14.5,16.4
Baker Mayfield,2.99,54.8,0.0,9.5,9.5,26.2
Bryce Young,2.94,54.1,18.9,5.4,5.4,16.2
Aaron Rodgers,2.58,53.5,7.0,14.0,11.6,14.0
Marcus Mariota,3.19,52.6,10.5,5.3,5.3,26.3
Brock Purdy,3.04,52.0,12.0,8.0,8.0,20.0
Drake Maye,2.94,52.0,8.0,12.0,12.0,16.0
Trevor Lawrence,2.80,51.6,41.9,3.2,3.2,0.0
Patrick Mahomes,2.79,51.1,13.3,20.0,6.7,8.9
Deshaun Watson,2.55,50.0,2.9,17.6,17.6,11.8
Lamar Jackson,3.09,50.0,2.9,11.8,17.6,17.6
Joe Burrow,2.48,48.4,6.5,22.6,6.5,16.1
Bo Nix,2.74,41.9,45.2,6.5,3.2,3.2
Jordan Love,2.30,41.2,29.4,14.7,2.9,11.8
Josh Allen,2.84,40.0,10.0,12.5,7.5,30.0
Malik Willis,2.98,30.8,3.8,19.2,26.9,19.2
Caleb Williams,3.71,28.6,10.7,7.1,25.0,28.6
J.Strand,2.54,27.8,11.1,22.2,5.6,33.3
Geno Smith,2.93,26.2,31.0,16.7,14.3,11.9
