player,team,man_yprr,man_routes,zone_yprr,zone_routes,thin_sample_flag
Mike Evans,SF,2.13,8,2.17,29,no
Ladd McConkey,LAC,4.00,5,2.00,20,man-side
Jaxon Smith-Njigba,SEA,1.27,11,5.50,24,no
CeeDee Lamb,DAL,1.22,9,3.86,36,no
Justin Jefferson,MIN,4.57,14,2.38,29,no
Josh Downs,IND,4.17,18,0.88,33,no
Chris Olave,NO,2.45,22,3.15,61,no
Davante Adams,LAR,4.91,11,3.05,21,no
Garrett Wilson,NYJ,3.67,9,1.76,46,no
Parker Washington,JAX,7.71,7,2.73,33,man-side
Rashee Rice,KC,0.72,18,0.95,38,no
Amon-Ra St. Brown,DET,7.00,7,1.89,61,man-side
