coverage,player,matchup,opp_coverage_freq_pct,player_tprr_pct,route_sample,sample_label
MAN,Parker Washington,JAX vs NE,54.9,57.1,4 targets / 7 routes,EARLY SAMPLE
MAN,DeVonta Smith,PHI at CHI,55.1,30.0,3 targets / 10 routes,EARLY SAMPLE
MAN,Justin Jefferson,MIN at TB,39.3,28.6,4 targets / 14 routes,EARLY SAMPLE
MAN,Amon-Ra St. Brown,DET vs NYJ,36.4,71.4,5 targets / 7 routes,EARLY SAMPLE
MAN,Tetairoa McMillan,CAR at CLE,54.2,28.0,7 targets / 25 routes,2026 WEEKS 1 TO 2
ZONE,Jaxon Smith-Njigba,SEA at WAS,76.6,41.7,10 targets / 24 routes,2026 WEEKS 1 TO 2
ZONE,Chris Olave,NO vs LV,85.0,26.2,16 targets / 61 routes,2026 WEEKS 1 TO 2
ZONE,Ja'Marr Chase,CIN at PIT,70.8,16.7,9 targets / 54 routes,2026 WEEKS 1 TO 2
ZONE,CeeDee Lamb,DAL vs BAL,70.0,27.8,10 targets / 36 routes,2026 WEEKS 1 TO 2
ZONE,Trey McBride,ARI at SF,84.1,42.9,15 targets / 35 routes,2026 WEEKS 1 TO 2
