tier,rank,player,team,targets,routes,tprr_pct,yprr,key_takeaway
TARGET MAGNETS (30%+),1,Jaxon Smith-Njigba,SEA,22,50,44,5.54,
TARGET MAGNETS (30%+),2,Parker Washington,JAX,18,46,39,3.93,
TARGET MAGNETS (30%+),3,Davante Adams,LAR,16,48,33,4.60,
TARGET MAGNETS (30%+),4,Amon-Ra St. Brown,DET,27,82,33,2.55,
TARGET MAGNETS (30%+),5,Stefon Diggs,WAS,15,47,32,2.17,
HEAVY INVOLVEMENT (25-29.9%),6,CeeDee Lamb,DAL,17,58,29,3.40,
HEAVY INVOLVEMENT (25-29.9%),7,Deebo Samuel,SF,11,39,28,2.03,
HEAVY INVOLVEMENT (25-29.9%),8,Justin Jefferson,MIN,15,54,28,2.72,
HEAVY INVOLVEMENT (25-29.9%),9,Christian Watson,GB,19,68,28,2.76,
HEAVY INVOLVEMENT (25-29.9%),10,Tee Higgins,CIN,16,60,27,2.57,
HEAVY INVOLVEMENT (25-29.9%),11,DeVonta Smith,PHI,19,74,26,2.30,
HEAVY INVOLVEMENT (25-29.9%),12,Chris Olave,NO,23,92,25,2.91,
FANTASY RADAR (20-24.9%),13,Jalen Coker,CAR,18,74,24,2.76,
FANTASY RADAR (20-24.9%),14,Tetairoa McMillan,CAR,18,75,24,2.35,
FANTASY RADAR (20-24.9%),15,DK Metcalf,PIT,19,88,22,0.76,
FANTASY RADAR (20-24.9%),16,Luther Burden,CHI,12,57,21,1.67,
