Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
RB,Jahmyr Gibbs (44247672),Jahmyr Gibbs,44247672,RB/FLEX,8800,NYJ@DET 09/27/2026 01:00PM ET,DET,30.5,
WR,Jaxon Smith-Njigba (44248026),Jaxon Smith-Njigba,44248026,WR/FLEX,8600,SEA@WAS 09/27/2026 01:00PM ET,SEA,37.4,
RB,Christian McCaffrey (44247674),Christian McCaffrey,44247674,RB/FLEX,8300,ARI@SF 09/27/2026 04:05PM ET,SF,18.2,
WR,Ja'Marr Chase (44248028),Ja'Marr Chase,44248028,WR/FLEX,8100,CIN@PIT 09/27/2026 01:00PM ET,CIN,14.9,
QB,Josh Allen (44247572),Josh Allen,44247572,QB,8000,LAC@BUF 09/27/2026 01:00PM ET,BUF,39.7,
WR,Amon-Ra St. Brown (44248030),Amon-Ra St. Brown,44248030,WR/FLEX,7900,NYJ@DET 09/27/2026 01:00PM ET,DET,33.5,
WR,CeeDee Lamb (44248032),CeeDee Lamb,44248032,WR/FLEX,7800,BAL@DAL 09/27/2026 04:25PM ET,DAL,26.9,
RB,Derrick Henry (44247676),Derrick Henry,44247676,RB/FLEX,7700,BAL@DAL 09/27/2026 04:25PM ET,BAL,28,
WR,Puka Nacua (44248034),Puka Nacua,44248034,WR/FLEX,7700,LAR@DEN 09/27/2026 08:20PM ET,LAR,12.4,Q
RB,Jonathan Taylor (44247678),Jonathan Taylor,44247678,RB/FLEX,7600,HOU@IND 09/27/2026 01:00PM ET,IND,27.7,
QB,Lamar Jackson (44247573),Lamar Jackson,44247573,QB,7500,BAL@DAL 09/27/2026 04:25PM ET,BAL,22.4,
WR,Justin Jefferson (44248036),Justin Jefferson,44248036,WR/FLEX,7500,MIN@TB 09/27/2026 04:05PM ET,MIN,19.9,
RB,Kenneth Walker III (44247680),Kenneth Walker III,44247680,RB/FLEX,7400,KC@MIA 09/27/2026 01:00PM ET,KC,32,
WR,Chris Olave (44248038),Chris Olave,44248038,WR/FLEX,7200,LV@NO 09/27/2026 04:25PM ET,NO,26.9,
RB,Ashton Jeanty (44247682),Ashton Jeanty,44247682,RB/FLEX,7100,LV@NO 09/27/2026 04:25PM ET,LV,23,
WR,DeVonta Smith (44248040),DeVonta Smith,44248040,WR/FLEX,7100,PHI@CHI 09/28/2026 08:15PM ET,PHI,19.5,
RB,Saquon Barkley (44247684),Saquon Barkley,44247684,RB/FLEX,7000,PHI@CHI 09/28/2026 08:15PM ET,PHI,6,
WR,Nico Collins (44248042),Nico Collins,44248042,WR/FLEX,7000,HOU@IND 09/27/2026 01:00PM ET,HOU,21.2,Q
RB,James Cook III (44247686),James Cook III,44247686,RB/FLEX,6900,LAC@BUF 09/27/2026 01:00PM ET,BUF,16.9,
WR,Zay Flowers (44248044),Zay Flowers,44248044,WR/FLEX,6900,BAL@DAL 09/27/2026 04:25PM ET,BAL,29,Q
QB,Jalen Hurts (44247574),Jalen Hurts,44247574,QB,6800,PHI@CHI 09/28/2026 08:15PM ET,PHI,21.4,
RB,Omarion Hampton (44247688),Omarion Hampton,44247688,RB/FLEX,6800,LAC@BUF 09/27/2026 01:00PM ET,LAC,13.9,
WR,Mike Evans (44248046),Mike Evans,44248046,WR/FLEX,6800,ARI@SF 09/27/2026 04:05PM ET,SF,12.7,Q
QB,Dak Prescott (44247575),Dak Prescott,44247575,QB,6700,BAL@DAL 09/27/2026 04:25PM ET,DAL,22.6,
RB,Javonte Williams (44247690),Javonte Williams,44247690,RB/FLEX,6700,BAL@DAL 09/27/2026 04:25PM ET,DAL,16.1,
WR,Jaylen Waddle (44248048),Jaylen Waddle,44248048,WR/FLEX,6700,LAR@DEN 09/27/2026 08:20PM ET,DEN,13,
