backfield,team,player,role,snap_share_pct,snaps_or_carries,redzone_tgt_share_pct,top3_concentration_pct,league_avg_top3_pct,team_proe_pct,notes
GB,GB,Chris Brooks,RB-Alpha,51.2,65 snaps,61.0,100.0,54.1,0.0,"led snaps, owns 3rd-down role"
GB,GB,MarShawn Lloyd,,36.2,46 snaps,,,54.1,,led carries Week 1
GB,GB,Kaleb Johnson,,12.6,16 snaps,,,54.1,,led carries Week 2
WAS,WAS,Rachaad White,RB-Alpha,46.8,66 snaps,56.0,98.6,54.1,0.0,"led backfield target share both games; ahead of JCM in snaps"
WAS,WAS,Jacory Croskey-Merritt,,42.6,60 snaps,,,54.1,,
WAS,WAS,Kaytron Allen,,9.2,13 snaps,,,54.1,,
WAS,WAS,Others,,1.4,,,,54.1,,
NE,NE,TreVeyon Henderson,RB-Alpha,58.1,75 snaps,83.0,100.0,54.1,0.0,"season debut: led NE in Snap%, Carry%, Opp%; 4.0 AVG/GP"
NE,NE,Rhamondre Stevenson,,34.9,45 snaps,,,54.1,,
NE,NE,Terrell Jennings,,7.8,10 snaps,,,54.1,,
SEA,SEA,Jadarian Price,RB-Alpha,37.1,23 carries,45.0,93.6,54.1,0.0,"questionable to play; W1=10 carries W2=13 carries; 11.5 AVG/GP"
SEA,SEA,Emanuel Wilson,,37.1,23 carries,,,54.1,,
SEA,SEA,George Holani,,19.4,12 carries,,,54.1,,
SEA,SEA,Others,,6.4,,,,54.1,,
DEN,DEN,J.K. Dobbins,,58.0,18 carries,,,54.1,,"rush TD split 0 vs Coleman 1"
DEN,DEN,Jonah Coleman,,32.0,10 carries,,,54.1,,"40.3% snap share in W2; can step in as #1 while Dobbins is hurt"
