rank,team,proe_plus,chg_vs_2025
1,CAR,0.69,0.89
2,NO,0.27,0.05
3,CIN,0.22,0.16
4,KC,0.20,0.09
5,TEN,0.20,0.38
6,CLE,0.15,0.32
7,PIT,0.12,0.25
8,WAS,0.11,0.19
9,DAL,0.06,-0.18
10,BUF,0.05,0.19
11,SF,0.05,0.12
12,DEN,0.03,-0.10
13,NE,0.01,0.10
14,CHI,0.00,-0.02
,LG_AVG,-0.06,
15,HOU,-0.07,-0.11
16,ARI,-0.07,-0.06
17,TB,-0.08,0.13
18,LV,-0.12,-0.06
19,MIA,-0.12,0.24
20,JAX,-0.15,-0.10
21,DET,-0.18,-0.10
22,NYJ,-0.18,0.11
23,PHI,-0.19,-0.09
24,GB,-0.20,-0.09
25,ATL,-0.20,-0.17
26,NYG,-0.23,-0.22
27,MIN,-0.26,-0.14
28,LAR,-0.27,-0.46
29,IND,-0.30,-0.22
30,BAL,-0.32,-0.08
31,LAC,-0.45,-0.33
32,SEA,-0.59,-0.44
