qb,cpoe,corrected_version_includes_purdy
J.Dart,+11.9,no
D.Prescott,+11.5,no
B.Mayfield,+9.9,no
D.Watson,+9.6,no
D.Lock,+9.6,no
L.Jackson,+6.8,no
T.Lawrence,+7.6,no
J.Goff,+4.5,no
J.Allen,+4.7,no
G.Smith,+4.3,no
J.Hurts,+4.0,no
T.Shough,+3.8,no
K.Cousins,+3.3,no
M.Stafford,+2.6,no
B.Young,+2.5,no
J.Burrow,+2.1,no
D.Maye,+1.7,no
B.Nix,+1.3,no
C.Williams,+1.2,no
J.Brissett,+1.1,no
D.Jones,-0.7,no
C.Stroud,-2.0,no
C.Ward,-2.9,no
A.Rodgers,-6.3,no
J.Herbert,-4.2,no
J.Daniels,-4.5,no
M.Willis,-5.9,no
P.Mahomes,-5.5,no
C.Wentz,-7.7,no
J.Love,-9.3,no
C.Rush,-16.2,no
J.Winston,-22.0,no
B.Purdy,+10.5,yes
