# PARTIAL/APPROXIMATE: scatter plot had no labeled values; all positions read
# from chart axes (~80%/+0.65 scales). 33 QBs visible. League-average
# reference lines at ~+0.25 EPA/attempt and 65% first-read rate.
qb,team,epa_per_attempt_approx,first_read_rate_pct_approx
Drew Lock,SEA,0.65,80
Jaxson Dart,NYG,0.62,73
Dak Prescott,DAL,0.50,72
Kirk Cousins,ATL,0.18,71
Matthew Stafford,LAR,0.28,70
Jacoby Brissett,ARI,0.25,75
Daniel Jones,IND,0.05,74
Cooper Rush,ATL,-0.38,73
Jalen Hurts,PHI,0.42,64
Trevor Lawrence,JAX,0.50,63
Carson Wentz,MIN,0.50,65
C.J. Stroud,HOU,0.18,63
Cameron Ward,TEN,0.22,62
Josh Allen,BUF,0.88,67
Bryce Young,CAR,0.55,66
Jared Goff,DET,0.45,57
Jordan Love,GB,0.02,65
Joe Burrow,CIN,-0.10,67
Baker Mayfield,TB,0.02,67
Patrick Mahomes,KC,0.15,68
Jaden Daniels,WAS,0.32,68
Jameis Winston,NYG,-0.60,69
Justin Herbert,LAC,-0.05,69
Aaron Rodgers,PIT,-0.35,67
Lamar Jackson,BAL,0.85,62
Tyler Shough,NO,0.42,58
Brock Purdy,SF,0.62,56
Bo Nix,DEN,-0.08,55
Geno Smith,NYJ,0.50,52
Malik Willis,GB,0.05,48
Caleb Williams,CHI,0.48,48
Drake Maye,NE,-0.22,61
Deshaun Watson,CLE,0.30,64
