player,yards_before_contact_per_attempt_approx,yards_after_contact_per_attempt_approx,all_values_approximate
J.Cook,4.25,1.30,yes
B.Corum,4.20,1.80,yes
K.Williams,3.50,2.15,yes
T.Spears,3.25,2.05,yes
B.Irving,3.15,2.15,yes
J.Gibbs,3.15,1.55,yes
C.Hubbard,3.35,1.25,yes
T.Benson,2.85,1.62,yes
T.Pollard,2.75,2.10,yes
A.Jones,2.60,1.55,yes
E.Wilson,2.60,1.40,yes
R.White,2.55,2.00,yes
J.Taylor,2.25,2.30,yes
J.Mason,1.75,2.30,yes
B.Robinson (ATL),2.10,2.15,yes
D.Achane,2.05,1.50,yes
D.Henry,2.05,3.25,yes
J.Warren,1.75,2.65,yes
J.Dobbins,1.80,2.58,yes
C.Brown,2.35,1.68,yes
K.Walker,2.25,3.95,yes
D.Swift,2.30,2.80,yes
R.Stevenson,1.55,2.45,yes
C.McCaffrey,2.95,1.90,yes
B.Hall,1.90,1.60,yes
T.Allgeier,2.25,1.02,yes
D.Montgomery,1.55,1.15,yes
S.Barkley,1.30,3.45,yes
B.Allen,1.30,1.80,yes
T.Bigsby,1.30,1.55,yes
C.Rodriguez,1.00,2.10,yes
M.Lloyd,2.10,1.10,yes
R.Dowdle,1.75,0.75,yes
