rank,qb,uncatchable_throw_rate_pct,min_attempts_met
1,B.Purdy,10.71,yes
2,D.Watson,15.38,yes
2,G.Smith,15.38,yes
4,D.Prescott,16.92,yes
5,T.Lawrence,21.15,yes
6,K.Cousins,22.03,yes
7,D.Lock,22.92,yes
8,T.Shough,23.33,yes
9,B.Mayfield,24.19,yes
9,D.Jones,24.19,yes
11,J.Brissett,24.62,yes
12,J.Burrow,25.76,yes
13,J.Goff,25.97,yes
14,J.Dart,26.47,yes
15,J.Allen,26.67,yes
16,D.Maye,27.27,yes
16,C.Williams,27.27,yes
18,L.Jackson,28.57,yes
19,B.Nix,28.81,yes
20,P.Mahomes,29.73,yes
21,M.Stafford,30.36,yes
22,J.Hurts,30.65,yes
23,C.Ward,32.69,yes
24,J.Herbert,33.33,yes
25,J.Daniels,35.29,yes
26,A.Rodgers,36.71,yes
27,B.Young,36.99,yes
28,J.Love,38.03,yes
29,C.Stroud,38.71,yes
30,M.Willis,40.00,yes
31,C.Rush,41.03,yes
31,C.Wentz,41.03,yes
