rank,player,pos_team,yards_per_route_grade,trend,reps,receiving_yards,over_expected
1,Tariq Woolen,DC-SEA,-0.59,-0.43,641,474,-446.6
2,Patrick Surtain,DC-DEN,-0.52,-0.20,591,415,-480.1
3,Eric Stokes,DC-LV,-0.50,-0.22,516,378,-335.9
4,Christian Gonzalez,DC-NE,-0.46,-0.61,605,643,-282.1
5,Josh Jobe,DC-DET,-0.44,-0.44,618,641,-295.9
6,Isaiah Rodgers,DC-MIN,-0.42,-0.66,487,616,-187.0
7,D.J. Turner,DC-CIN,-0.37,-0.14,553,567,-231.5
8,Quinyon Mitchell,DC-PHI,-0.35,-0.03,630,623,-325.3
9,Tarheeb Still,DC-LAC,-0.34,-0.12,482,459,-251.8
10,Michael Jackson,DC-CAR,-0.34,-0.49,598,728,-169.5
11,Trent McDuffie,DC-LAR,-0.34,-0.48,381,413,-181.9
12,Renardo Green,DC-SF,-0.32,-0.36,509,588,-244.1
13,Rock Ya-Sin,DC-DET,-0.32,+0.09,394,373,-247.3
14,Deommodore Lenoir,DC-SF,-0.31,+0.05,642,601,-421.2
15,Ahmad Gardner,DC-IND,-0.31,-0.08,357,342,-197.7
16,Cobie Durant,DC-LAR,-0.30,-0.27,560,624,-244.4
17,Kristian Fulton,DC-KC,-0.29,-0.46,159,186,-32.3
18,Josh Wallace,DC-LAR,-0.28,-0.03,180,128,-151.7
19,Devon Witherspoon,DC-SEA,-0.28,-0.20,540,538,-248.3
20,Denzel Ward,DC-CLE,-0.27,-0.20,441,525,-129.4
