rank,player,pos_team,yards_per_route_grade,trend,reps,receiving_yards,over_expected
1,Justin Reid,DS-KC,-0.37,-0.15,334,290,-207.5
2,Julian Love,DS-SEA,-0.35,-0.02,236,158,-200.7
3,Kyle Hamilton,DS-BAL,-0.34,-0.18,459,408,-231.0
4,Javon Bullard,DS-GB,-0.31,-0.18,454,350,-298.9
5,Derwin James,DS-LAC,-0.29,-0.16,431,367,-216.1
6,Tre'von Moehrig,DS-CAR,-0.27,-0.44,431,541,-50.6
7,Jaylen McCollough,DS-LAR,-0.26,-0.17,320,313,-150.6
8,Jonas Sanker,DS-ARI,-0.23,-0.21,322,401,-98.8
9,Jalen Davis,DS-CIN,-0.23,-0.10,226,228,-104.2
10,Jalen Ramsey,DS-PIT,-0.23,-0.37,484,603,-172.8
11,Brandon Jones,DS-DEN,-0.22,-0.05,300,245,-190.6
12,Jalen Pitre,DS-HOU,-0.21,-0.38,456,547,-126.8
13,Eric Murray,DS-JAX,-0.21,-0.21,242,248,-111.3
14,Jaden Hicks,DS-KC,-0.21,-0.22,216,237,-84.6
15,Craig Woodson,DS-NE,-0.20,-0.02,462,441,-255.1
16,Tykee Smith,DS-TB,-0.19,-0.40,361,422,-131.2
17,Jessie Bates,DS-ATL,-0.19,-0.16,398,441,-170.8
18,Kamren Curl,DS-LAR,-0.19,-0.21,458,622,-106.3
19,Jalen Thompson,DS-DAL,-0.17,-0.13,379,451,-127.1
20,Harrison Smith,DS-MIN,-0.16,-0.17,225,335,-41.8
