rank,player,pos_team,run_block_grade,trend,reps,disruptions,over_expected
1,Garett Bolles,OT-DEN,-2.6,-1.1,560,29,-17.5
2,Penei Sewell,OT-DET,-2.6,-2.8,480,30,-10.6
3,Alec Anderson,OG-BUF,-2.5,-1.4,213,8,-9.0
4,Brandon Coleman,OG-WAS,-2.5,-1.6,256,14,-8.0
5,Quinn Meinerz,OG-DEN,-2.5,-1.7,584,35,-11.9
6,Jordan Mailata,OT-PHI,-2.0,-2.0,570,38,-9.2
7,Will Campbell,OT-NE,-2.0,-0.5,536,25,-19.3
8,Brian O'Neill,OT-MIN,-1.9,-1.6,371,25,-5.5
9,Trent Williams,OT-SF,-1.8,+2.6,559,23,-24.6
10,Tyler Guyton,OT-DAL,-1.8,-0.4,261,10,-13.4
11,Graham Barton,OC-TB,-1.7,-1.1,569,36,-12.4
12,Zach Bako-Bewele,OT-GB,-1.6,-0.2,315,17,-9.0
13,Darnell Wright,OT-CHI,-1.5,-2.1,653,48,-7.1
14,Grey Zabel,OG-SEA,-1.5,-1.4,714,49,-10.6
15,Lane Johnson,OT-PHI,-1.5,-0.9,248,12,-9.0
16,Dylan Cook,OT-NYG,-1.5,-0.0,176,10,-4.6
17,Olu Fashanu,OT-NYJ,-1.3,-1.3,539,43,-0.6
18,Trevor Penning,OG-LAC,-1.3,-0.8,250,17,-3.0
19,Connor McGovern,OC-NYJ,-1.2,-0.9,643,40,-14.3
20,Alaric Jackson,OT-LAR,-1.2,+0.8,593,36,-13.3
