team,dropback_epa_per_play_allowed_approx,rush_epa_per_play_allowed_approx
RAIDERS,0.08,-0.48
SEAHAWKS,-0.01,-0.44
JETS,-0.02,-0.38
BENGALS,-0.11,-0.32
FALCONS,0.03,-0.33
TEXANS,0.26,-0.26
CHARGERS,0.24,-0.25
COMMANDERS,0.34,-0.21
CARDINALS,0.21,-0.22
BUCCANEERS,0.17,-0.22
49ERS,-0.05,-0.18
PATRIOTS,-0.16,-0.13
DOLPHINS,0.44,-0.14
GIANTS,0.46,-0.10
BEARS,0.18,-0.12
JAGUARS,0.06,-0.11
BILLS,0.30,-0.06
TITANS,0.28,-0.06
PACKERS,0.26,-0.04
STEELERS,-0.31,-0.05
COWBOYS,0.35,0.00
EAGLES,0.06,0.01
SAINTS,0.04,0.00
RAMS,-0.08,-0.04
RAVENS,-0.03,-0.01
CHIEFS,-0.08,0.02
PANTHERS,-0.06,0.00
BROWNS,0.02,0.02
COLTS,0.29,0.10
LIONS,0.25,0.16
BRONCOS,-0.07,0.17
