rank,team_abbr,rz_trips,td_pct,fg_pct,scored_pct,points_per_rz_trip
1,SF,8,87.5,12.5,100.0,5.62
2,DAL,7,85.7,14.3,100.0,5.57
3,IND,6,83.3,16.7,100.0,5.50
4,MIN,5,80.0,20.0,100.0,5.40
5,DET,9,77.8,22.2,100.0,5.33
6,JAX,4,75.0,25.0,100.0,5.25
6,BUF,8,75.0,25.0,100.0,5.25
8,NO,7,71.4,28.6,100.0,5.14
9,NYJ,6,66.7,33.3,100.0,5.00
10,LAC,5,80.0,0.0,80.0,4.80
10,CAR,10,70.0,20.0,90.0,4.80
10,TEN,5,60.0,40.0,100.0,4.80
10,CIN,5,60.0,40.0,100.0,4.80
14,PHI,7,71.4,14.3,85.7,4.71
14,LV,7,71.4,14.3,85.7,4.71
16,NYG,6,66.7,16.7,83.3,4.50
16,WAS,6,66.7,16.7,83.3,4.50
16,KC,10,60.0,30.0,90.0,4.50
16,BAL,6,66.7,16.7,83.3,4.50
16,ARI,6,50.0,50.0,100.0,4.50
21,DEN,6,50.0,33.3,83.3,4.00
21,LA,6,66.7,0.0,66.7,4.00
23,SEA,7,42.9,42.9,85.7,3.86
24,CHI,7,57.1,0.0,57.1,3.43
25,GB,8,37.5,37.5,75.0,3.38
25,TB,8,37.5,37.5,75.0,3.38
27,NE,3,33.3,33.3,66.7,3.00
27,CLE,5,20.0,60.0,80.0,3.00
27,MIA,5,20.0,60.0,80.0,3.00
27,HOU,9,44.4,11.1,55.6,3.00
27,PIT,3,33.3,33.3,66.7,3.00
