season,week,season_type,player_id,team,player_name,player_display_name,position,position_group,headshot_url,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_att,gwfg_distance,gwfg_made,gwfg_missed,gwfg_blocked
2023,1,REG,00-0023853,ARI,M.Prater,Matt Prater,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwlrdghrm5chsum2kzic",3,3,0,0,54,1,0,1,1,0,1,0,0,0,0,0,0,0,28;54;37,,,119,0,0,1,1,0,0,1,0,,,,
2023,2,REG,00-0023853,ARI,M.Prater,Matt Prater,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwlrdghrm5chsum2kzic",2,3,1,0,44,0.667,0,0,1,1,0,0,0,0,0,0,1,0,37;44,55,,81,55,0,2,2,0,0,1,0,,,,
2023,3,REG,00-0023853,ARI,M.Prater,Matt Prater,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwlrdghrm5chsum2kzic",3,3,0,0,62,1,0,0,1,1,0,1,0,0,0,0,0,0,39;43;62,,,144,0,0,1,1,0,0,1,0,,,,
2023,4,REG,00-0023853,ARI,M.Prater,Matt Prater,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwlrdghrm5chsum2kzic",1,1,0,0,38,1,0,0,1,0,0,0,0,0,0,0,0,0,38,,,38,0,0,1,1,0,0,1,0,,,,
2023,5,REG,00-0023853,ARI,M.Prater,Matt Prater,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwlrdghrm5chsum2kzic",,0,,,,,,,,,,,,,,,,,,,,,,,2,3,1,0,0.667,0,,,,
2023,6,REG,00-0023853,ARI,M.Prater,Matt Prater,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwlrdghrm5chsum2kzic",3,3,0,0,55,1,0,1,1,0,1,0,0,0,0,0,0,0,55;32;27,,,114,0,0,,0,,,,0,,,,
2023,7,REG,00-0023853,ARI,M.Prater,Matt Prater,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwlrdghrm5chsum2kzic",1,2,1,0,44,0.5,0,0,0,1,0,0,0,0,1,0,0,0,44,34,,44,34,0,1,1,0,0,1,0,,,,
2023,8,REG,00-0023853,ARI,M.Prater,Matt Prater,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwlrdghrm5chsum2kzic",1,1,0,0,47,1,0,0,0,1,0,0,0,0,0,0,0,0,47,,,47,0,0,1,1,0,0,1,0,,,,
2023,10,REG,00-0023853,ARI,M.Prater,Matt Prater,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwlrdghrm5chsum2kzic",4,4,0,0,56,1,0,1,0,1,2,0,0,0,0,0,0,0,51;46;56;23,,,176,0,0,1,1,0,0,1,1,23,1,0,0
2023,11,REG,00-0023853,ARI,M.Prater,Matt Prater,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwlrdghrm5chsum2kzic",1,1,0,0,57,1,0,0,0,0,1,0,0,0,0,0,0,0,57,,,57,0,0,1,1,0,0,1,1,57,1,0,0
2023,12,REG,00-0023853,ARI,M.Prater,Matt Prater,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwlrdghrm5chsum2kzic",0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,,56,,0,56,0,,0,,,,0,,,,
2023,13,REG,00-0023853,ARI,M.Prater,Matt Prater,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwlrdghrm5chsum2kzic",1,1,0,0,51,1,0,0,0,0,1,0,0,0,0,0,0,0,51,,,51,0,0,3,3,0,0,1,0,,,,
2023,15,REG,00-0023853,ARI,M.Prater,Matt Prater,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwlrdghrm5chsum2kzic",3,3,0,0,58,1,0,1,0,1,1,0,0,0,0,0,0,0,58;43;28,,,129,0,0,2,2,0,0,1,0,,,,
2023,16,REG,00-0023853,ARI,M.Prater,Matt Prater,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwlrdghrm5chsum2kzic",1,1,0,0,55,1,0,0,0,0,1,0,0,0,0,0,0,0,55,,,55,0,0,1,1,0,0,1,0,,,,
2023,17,REG,00-0023853,ARI,M.Prater,Matt Prater,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwlrdghrm5chsum2kzic",2,2,0,0,34,1,0,1,1,0,0,0,0,0,0,0,0,0,28;34,,,62,0,0,3,3,0,0,1,0,,,,
2023,18,REG,00-0023853,ARI,M.Prater,Matt Prater,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mwlrdghrm5chsum2kzic",2,4,2,0,34,0.5,0,1,1,0,0,0,0,0,0,1,1,0,23;34,43;51,,57,94,0,2,2,0,0,1,1,51,0,1,0
2023,1,REG,00-0025565,TEN,N.Folk,Nick Folk,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tvducq2x22jbvgaob4o1",5,5,0,0,50,1,0,2,1,1,1,0,0,0,0,0,0,0,50;27;31;45;29,,,182,0,0,,0,,,,0,,,,
2023,2,REG,00-0025565,TEN,N.Folk,Nick Folk,K,SPEC,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tvducq2x22jbvgaob4o1",2,2,0,0,41,1,0,0,1,1,0,0,0,0,0,0,0,0,33;41,,,74,0,0,3,3,0,0,1,1,41,1,0,0
