season,week,player_id,position,opportunities,fp_ppr,xfp,fpoe
2023,3,00-0039040,RB,22,51.3,16.867339715004945,34.43266028499505
2020,12,00-0033040,WR,15,57.9,24.80517728551964,33.09482271448036
2023,5,00-0034827,WR,10,49.0,16.60465103941936,32.39534896058064
2021,11,00-0036223,RB,35,53.4,24.284056213450675,29.115943786549323
2024,14,00-0034857,QB,47,51.88,23.4055581594692,28.4744418405308
2021,4,00-0033040,WR,12,47.6,19.88486153785947,27.71513846214053
2024,2,00-0033906,RB,23,44.0,16.674680024311346,27.325319975688654
2024,10,00-0036900,WR,17,55.4,28.085387783959753,27.314612216040246
2023,3,00-0031687,RB,20,45.2,18.079433469514022,27.12056653048598
2020,8,00-0033893,RB,33,48.6,23.01582684859412,25.58417315140588
2023,9,00-0039163,QB,42,40.8,15.478083581178,25.321916418822
2020,4,00-0031235,WR,10,38.4,13.324440540979248,25.075559459020752
2022,5,00-0033357,QB,10,34.08,9.269039401397558,24.810960598602442
2023,4,00-0033280,RB,28,48.7,23.97912530206212,24.720874697937884
2021,11,00-0033699,RB,18,41.5,16.811204104657467,24.688795895342533
2024,12,00-0034844,RB,30,46.2,21.940257174431164,24.25974282556884
2020,15,00-0029701,QB,30,37.02,12.920958487452374,24.09904151254763
2020,11,00-0033357,TE,33,24.22,0.17621077302307042,24.04378922697693
2020,13,00-0033357,TE,51,23.58,0.17621077302307042,23.40378922697693
2023,15,00-0033280,RB,23,41.7,18.3282287705551,23.371771229444903
