season,week,player_id,position,opportunities,fp_ppr,xfp,fpoe
2021,12,00-0034796,QB,49,9.4,28.40641620124938,-19.00641620124938
2023,1,00-0035710,QB,41,4.46,23.041929717838237,-18.581929717838236
2021,7,00-0036945,QB,40,1.16,19.6265665917163,-18.4665665917163
2021,6,00-0035710,QB,54,4.08,21.69494509583102,-17.61494509583102
2024,1,00-0035710,QB,48,4.94,21.331316654200055,-16.391316654200054
2023,14,00-0033891,WR,14,7.9,23.165072036299584,-15.265072036299584
2024,7,00-0035289,QB,35,-1.64,13.528960223888793,-15.168960223888794
2020,13,00-0036355,QB,53,4.36,19.499494110018215,-15.139494110018216
2021,14,00-0036971,QB,41,1.04,15.722456875983456,-14.682456875983455
2022,6,00-0036355,QB,59,8.42,22.912902902422005,-14.492902902422005
2020,16,00-0034855,QB,56,8.0,22.426110646529242,-14.426110646529242
2024,10,00-0034869,QB,45,6.44,20.84452439830729,-14.404524398307288
2024,16,00-0038583,QB,43,7.18,21.333270987918198,-14.153270987918198
2024,6,00-0035710,QB,52,11.8,25.843428106369323,-14.043428106369323
2021,10,00-0029263,QB,45,5.64,19.62461225799816,-13.984612257998158
2023,8,00-0034844,RB,41,15.8,29.742293054264096,-13.942293054264095
2021,15,00-0019596,QB,49,4.76,18.64711907877634,-13.887119078776339
2024,7,00-0039164,QB,38,8.76,22.55513746194547,-13.79513746194547
2023,4,00-0035710,QB,44,8.72,22.308809833421872,-13.588809833421871
2022,17,00-0037740,WR,11,4.8,18.244756288639415,-13.444756288639415
