player_id,season,week,raw_air_yards,catchable_air_yards,n_targets,n_catchable
00-0019596,2022,10,16.0,0.0,1,0
00-0023459,2025,14,-9.0,0.0,1,0
00-0024243,2022,5,2.0,2.0,1,1
00-0024243,2022,9,14.0,14.0,1,1
00-0024243,2022,10,-1.0,-1.0,1,1
00-0024243,2022,13,6.0,0.0,2,0
00-0024243,2022,15,7.0,7.0,1,1
00-0024243,2022,16,30.0,30.0,2,2
00-0024243,2023,4,-3.0,-3.0,1,1
00-0024243,2023,7,5.0,5.0,1,1
00-0024243,2023,11,9.0,0.0,1,0
00-0024243,2023,14,-3.0,-3.0,1,1
00-0024243,2023,16,1.0,1.0,1,1
00-0024243,2024,6,1.0,1.0,1,1
00-0026189,2022,9,62.0,62.0,2,2
00-0026189,2022,12,79.0,79.0,3,3
00-0026189,2022,13,39.0,4.0,3,2
00-0026189,2022,14,29.0,29.0,2,2
00-0026189,2022,15,34.0,4.0,3,1
00-0026189,2022,16,43.0,10.0,2,1
00-0026189,2022,17,16.0,4.0,2,1
00-0026498,2023,8,0.0,0.0,1,1
00-0027696,2023,3,8.0,8.0,1,1
00-0027696,2023,5,6.0,0.0,1,0
00-0027696,2023,13,6.0,6.0,1,1
00-0027696,2023,14,16.0,16.0,2,2
00-0027696,2023,15,6.0,6.0,2,2
00-0027942,2022,1,42.0,35.0,5,3
00-0027942,2022,2,49.0,49.0,8,7
00-0027942,2022,3,24.0,9.0,2,1
00-0027942,2022,5,79.0,17.0,5,3
00-0027942,2022,6,36.0,7.0,4,2
00-0027942,2022,8,26.0,0.0,1,0
00-0027942,2022,10,10.0,10.0,2,2
00-0027942,2022,11,92.0,50.0,9,5
00-0027942,2022,12,31.0,31.0,2,2
00-0027942,2022,14,17.0,17.0,2,2
00-0027942,2022,15,12.0,6.0,2,1
00-0027942,2022,17,15.0,15.0,2,2
00-0027942,2022,18,82.0,51.0,5,3
00-0027944,2022,1,110.0,92.0,5,4
00-0027944,2022,4,51.0,3.0,2,1
00-0027944,2022,8,26.0,16.0,4,2
00-0027944,2022,9,61.0,41.0,5,4
00-0027944,2022,10,73.0,23.0,5,3
00-0027944,2022,12,67.0,31.0,4,3
00-0027944,2022,13,97.0,16.0,6,3
00-0027944,2022,14,80.0,60.0,8,6
00-0027944,2022,16,22.0,2.0,2,1
00-0027944,2022,17,16.0,3.0,2,1
00-0027944,2022,19,72.0,57.0,11,7
00-0027944,2023,7,2.0,2.0,1,1
00-0027944,2023,8,19.0,8.0,2,1
00-0027944,2023,11,-4.0,-4.0,2,2
00-0027944,2023,12,-1.0,-3.0,3,1
00-0027944,2023,15,6.0,6.0,1,1
00-0027944,2023,16,28.0,0.0,4,1
00-0027944,2023,17,28.0,28.0,2,2
00-0027944,2023,18,53.0,16.0,4,3
00-0027944,2023,19,22.0,22.0,3,3
00-0027966,2022,1,-6.0,-6.0,1,1
00-0027966,2022,2,-9.0,-9.0,2,2
00-0027966,2022,4,1.0,1.0,3,3
00-0027966,2022,6,-6.0,1.0,2,1
00-0027966,2022,7,4.0,4.0,3,3
00-0027966,2022,8,0.0,0.0,1,1
00-0027966,2022,12,0.0,0.0,1,0
00-0027966,2022,13,-1.0,-1.0,5,5
00-0027981,2022,3,12.0,12.0,1,1
00-0027981,2022,5,6.0,6.0,1,1
00-0027981,2022,7,5.0,5.0,1,1
00-0027981,2022,8,13.0,0.0,1,0
00-0027981,2022,18,8.0,8.0,1,1
00-0028002,2022,1,55.0,55.0,3,3
00-0028002,2022,2,29.0,29.0,3,3
00-0028002,2022,3,10.0,10.0,2,2
00-0028002,2022,4,63.0,35.0,4,3
00-0028002,2022,5,122.0,69.0,13,9
00-0028002,2022,6,-1.0,-1.0,1,1
00-0028002,2022,11,51.0,51.0,6,6
00-0028002,2022,12,31.0,31.0,4,4
