api,type,features,url,timestamp
fantasypros,fantasy,"['c1_score', 'adp', 'projections']",https://www.fantasypros.com/,2026-09-18T07:49:44.554046
pff,analytics,"['offense_grade', 'defense_grade', 'special_teams_grade']",https://www.pff.com/,2026-09-18T07:49:44.554184
understat,analytics,"['xg', 'xga', 'npxg', 'ppda']",https://www.understat.com/,2026-09-18T07:49:44.554239
sports_reference,statistics,"['per', 'war', 'ws', 'bpm']",https://www.sports-reference.com/,2026-09-18T07:49:44.554289
mybookie,betting,"['odds', 'profit_boost', 'squares']",https://www.mybookie.ag/,2026-09-18T07:49:44.554337
betonline,betting,"['odds', 'crypto_bonus', 'vip_tier']",https://www.betonline.ag/,2026-09-18T07:49:44.554388
matchbook,exchange,"['exchange_odds', 'commission', 'bet_builder']",https://www.matchbook.com/,2026-09-18T07:49:44.554434
whoop,wearable,"['hrv', 'strain', 'recovery', 'sleep']",https://www.whoop.com/,2026-09-18T07:49:44.554479
oura,wearable,"['sleep', 'recovery', 'hrv', 'activity']",https://ouraring.com/,2026-09-18T07:49:44.554526
garmin,wearable,"['gps', 'heart_rate', 'sleep', 'performance']",https://www.garmin.com/,2026-09-18T07:49:44.554573
nba_stats,analytics,"['player_tracking', 'shot_chart', 'lineup_data']",https://www.nba.com/stats/,2026-09-18T07:49:44.554618
baseball_savant,analytics,"['statcast', 'exit_velocity', 'launch_angle', 'spin_rate']",https://baseballsavant.mlb.com/,2026-09-18T07:49:44.554666
esports_charts,esports,"['tournament_data', 'player_stats', 'match_history']",https://escharts.com/,2026-09-18T07:49:44.554716
sportradar,data,"['odds', 'statistics', 'market_data']",https://www.sportradar.com/,2026-09-18T07:49:44.554762
genius_sports,data,"['odds', 'statistics', 'integrity']",https://www.geniussports.com/,2026-09-18T07:49:44.554807
stats_perform,data,"['statistics', 'video', 'analytics']",https://www.statsperform.com/,2026-09-18T07:49:44.554851
catapult_sports,wearable,"['tracking', 'analytics', 'performance']",https://www.catapultsports.com/,2026-09-18T07:49:44.554898
second_spectrum,analytics,"['tracking', 'analytics', 'computer_vision']",https://www.secondspectrum.com/,2026-09-18T07:49:44.554945
statsbomb,analytics,"['event_data', 'analytics', 'football']",https://statsbomb.com/,2026-09-18T07:49:44.554992
opta_sports,data,"['statistics', 'event_data', 'analytics']",https://www.optasports.com/,2026-09-18T07:49:44.555037
draftkings,betting,"['odds', 'fantasy', 'props']",https://www.draftkings.com/,2026-09-18T07:49:44.555083
fanduel,betting,"['odds', 'fantasy', 'props']",https://www.fanduel.com/,2026-09-18T07:49:44.555133
betfair,exchange,"['exchange_odds', 'liquidity', 'market_depth']",https://www.betfair.com/,2026-09-18T07:49:44.555178
pinnacle,sportsbook,"['odds', 'limits', 'margin']",https://www.pinnacle.com/,2026-09-18T07:49:44.555225
betway,sportsbook,"['odds', 'casino', 'poker']",https://www.betway.com/,2026-09-18T07:49:44.555271
william_hill,sportsbook,"['odds', 'casino', 'bingo']",https://www.williamhill.com/,2026-09-18T07:49:44.555317
888sport,sportsbook,"['odds', 'casino', 'poker']",https://www.888sport.com/,2026-09-18T07:49:44.555367
bet365,sportsbook,"['odds', 'casino', 'live_betting']",https://www.bet365.com/,2026-09-18T07:49:44.555411
unibet,sportsbook,"['odds', 'casino', 'poker']",https://www.unibet.com/,2026-09-18T07:49:44.555456
leo_vegas,casino,"['slots', 'live_casino', 'jackpots']",https://www.leovegas.com/,2026-09-18T07:49:44.555500
bet_mgm,sportsbook,"['odds', 'casino', 'poker']",https://www.betmgm.com/,2026-09-18T07:49:44.555542
caesars,sportsbook,"['odds', 'casino', 'rewards']",https://www.caesars.com/,2026-09-18T07:49:44.555585
